State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount,Region
Chhattisgarh,2018,4,Recharge & bill payments,2438959,554514488.4121984,Central Region
Chhattisgarh,2018,4,Peer-to-peer payments,2342713,8450105299.480802,Central Region
Chhattisgarh,2018,4,Merchant payments,458091,331842964.57864183,Central Region
Chhattisgarh,2018,4,Financial Services,42199,9709810.436343707,Central Region
Chhattisgarh,2018,4,Others,83882,70240102.06349953,Central Region
Chhattisgarh,2019,1,Peer-to-peer payments,4068056,11417366152.38848,Central Region
Chhattisgarh,2019,1,Recharge & bill payments,2997095,679458794.5442779,Central Region
Chhattisgarh,2019,1,Merchant payments,710047,374735986.85082686,Central Region
Chhattisgarh,2019,1,Financial Services,33835,5075418.743007188,Central Region
Chhattisgarh,2019,1,Others,78636,67920032.80184662,Central Region
Chhattisgarh,2019,2,Peer-to-peer payments,4350167,15410038389.818302,Central Region
Chhattisgarh,2019,2,Recharge & bill payments,3435305,855753107.5104681,Central Region
Chhattisgarh,2019,2,Merchant payments,1483870,654411637.0168116,Central Region
Chhattisgarh,2019,2,Financial Services,22563,4237631.55442897,Central Region
Chhattisgarh,2019,2,Others,98040,77914922.92227882,Central Region
Chhattisgarh,2019,3,Peer-to-peer payments,5021844,17584630267.779922,Central Region
Chhattisgarh,2019,3,Recharge & bill payments,4335851,1069468753.7262831,Central Region
Chhattisgarh,2019,3,Merchant payments,2772084,1074255588.7227569,Central Region
Chhattisgarh,2019,3,Financial Services,16452,4542997.939180325,Central Region
Chhattisgarh,2019,3,Others,96880,70361559.28538439,Central Region
Chhattisgarh,2019,4,Peer-to-peer payments,7241974,24112075521.01784,Central Region
Chhattisgarh,2019,4,Recharge & bill payments,5112337,1257371454.8604,Central Region
Chhattisgarh,2019,4,Merchant payments,3852716,1720930747.628561,Central Region
Chhattisgarh,2019,4,Financial Services,14974,4665759.804240476,Central Region
Chhattisgarh,2019,4,Others,83757,48745253.90234077,Central Region
Chhattisgarh,2020,1,Peer-to-peer payments,8109789,28723854868.84692,Central Region
Chhattisgarh,2020,1,Recharge & bill payments,6400067,1688995018.220901,Central Region
Chhattisgarh,2020,1,Merchant payments,4923214,2393811867.388743,Central Region
Chhattisgarh,2020,1,Financial Services,12424,7378557.223060286,Central Region
Chhattisgarh,2020,1,Others,78497,46557359.6766012,Central Region
Chhattisgarh,2020,2,Recharge & bill payments,8366200,2504355746.828547,Central Region
Chhattisgarh,2020,2,Peer-to-peer payments,7216219,27351810047.60871,Central Region
Chhattisgarh,2020,2,Merchant payments,3158417,2361252112.419633,Central Region
Chhattisgarh,2020,2,Financial Services,19986,17814454.60563486,Central Region
Chhattisgarh,2020,2,Others,60103,33149845.43882451,Central Region
Chhattisgarh,2020,3,Peer-to-peer payments,9734445,34661165923.13037,Central Region
Chhattisgarh,2020,3,Recharge & bill payments,8705513,2790720003.137343,Central Region
Chhattisgarh,2020,3,Merchant payments,5591916,3990179454.188004,Central Region
Chhattisgarh,2020,3,Financial Services,34893,39141096.45070238,Central Region
Chhattisgarh,2020,3,Others,81772,45538330.62766186,Central Region
Chhattisgarh,2020,4,Peer-to-peer payments,14257312,50812302052.952705,Central Region
Chhattisgarh,2020,4,Merchant payments,11677743,8238390462.202984,Central Region
Chhattisgarh,2020,4,Recharge & bill payments,9423324,3033918783.2089987,Central Region
Chhattisgarh,2020,4,Financial Services,41308,48082346.06124696,Central Region
Chhattisgarh,2020,4,Others,129949,82280639.52262866,Central Region
Chhattisgarh,2021,1,Peer-to-peer payments,15621154,55638916992.138954,Central Region
Chhattisgarh,2021,1,Merchant payments,15222763,10661449529.109661,Central Region
Chhattisgarh,2021,1,Recharge & bill payments,8456094,3000977538.8405633,Central Region
Chhattisgarh,2021,1,Financial Services,37395,40387648.84021996,Central Region
Chhattisgarh,2021,1,Others,99031,68111552.62215017,Central Region
Chhattisgarh,2021,2,Peer-to-peer payments,18387345,62134058797.4359,Central Region
Chhattisgarh,2021,2,Merchant payments,15369311,12828590761.71342,Central Region
Chhattisgarh,2021,2,Recharge & bill payments,10764784,3640692364.165052,Central Region
Chhattisgarh,2021,2,Financial Services,40213,39620256.36433959,Central Region
Chhattisgarh,2021,2,Others,127767,85809079.54731184,Central Region
Chhattisgarh,2021,3,Merchant payments,27552743,19905616746.80529,Central Region
Chhattisgarh,2021,3,Peer-to-peer payments,25447410,80506858751.32883,Central Region
Chhattisgarh,2021,3,Recharge & bill payments,11039088,4045490947.2382193,Central Region
Chhattisgarh,2021,3,Financial Services,38817,48855662.40142638,Central Region
Chhattisgarh,2021,3,Others,159880,99286155.00295876,Central Region
Chhattisgarh,2021,4,Merchant payments,40526025,29283695601.22954,Central Region
Chhattisgarh,2021,4,Peer-to-peer payments,32799167,102177997315.6828,Central Region
Chhattisgarh,2021,4,Recharge & bill payments,11115444,4724827139.9519415,Central Region
Chhattisgarh,2021,4,Financial Services,55237,66445873.29612084,Central Region
Chhattisgarh,2021,4,Others,221621,146144588.6523692,Central Region
Chhattisgarh,2022,1,Merchant payments,48236094,33822547183.04485,Central Region
Chhattisgarh,2022,1,Peer-to-peer payments,37457039,118393860520.5721,Central Region
Chhattisgarh,2022,1,Recharge & bill payments,11466264,5442872986.10511,Central Region
Chhattisgarh,2022,1,Financial Services,52918,55991695.312008664,Central Region
Chhattisgarh,2022,1,Others,200977,131773069.80038041,Central Region
Chhattisgarh,2022,2,Merchant payments,61093916,41536371583.74904,Central Region
Chhattisgarh,2022,2,Peer-to-peer payments,42532112,133534947239.2497,Central Region
Chhattisgarh,2022,2,Recharge & bill payments,12737942,5949415519.837789,Central Region
Chhattisgarh,2022,2,Financial Services,41530,46037703.16128763,Central Region
Chhattisgarh,2022,2,Others,178548,114905117.7834119,Central Region
Chhattisgarh,2022,3,Merchant payments,84355775,50874051122.373604,Central Region
Chhattisgarh,2022,3,Peer-to-peer payments,57116149,161027214428.2059,Central Region
Chhattisgarh,2022,3,Recharge & bill payments,16538894,8069941553.075293,Central Region
Chhattisgarh,2022,3,Financial Services,55775,61881709.73674864,Central Region
Chhattisgarh,2022,3,Others,185994,128469268.5974063,Central Region
Chhattisgarh,2022,4,Merchant payments,97405954,60247141797.94961,Central Region
Chhattisgarh,2022,4,Peer-to-peer payments,63986789,183672880692.7266,Central Region
Chhattisgarh,2022,4,Recharge & bill payments,16324117,8376603987.152398,Central Region
Chhattisgarh,2022,4,Financial Services,63695,81169069.23462963,Central Region
Chhattisgarh,2022,4,Others,179891,141385263.4082809,Central Region
Dadra and Nagar Haveli and Daman and Diu,2018,1,Recharge & bill payments,95544,17526369.5804541,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,1,Peer-to-peer payments,44599,151966933.2460739,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,1,Merchant payments,1531,1580762.779739072,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,1,Financial Services,1364,353171.5523814913,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,1,Others,5511,4231146.95056825,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,2,Recharge & bill payments,122834,30595592.00768239,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,2,Peer-to-peer payments,69215,261995613.0548204,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,2,Merchant payments,3544,4685536.036433555,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,2,Financial Services,2996,383806.08546730166,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,2,Others,4037,4410224.471747881,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,3,Recharge & bill payments,157113,39790820.29359456,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,3,Peer-to-peer payments,119346,396698085.41045517,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,3,Merchant payments,7465,5693604.7441260815,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,3,Financial Services,1477,297647.89589848556,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,3,Others,4174,5159437.334100959,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,4,Peer-to-peer payments,194214,582082154.4115133,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,4,Recharge & bill payments,185793,49972030.112854846,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,4,Merchant payments,15739,19577328.03937304,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,4,Financial Services,2996,371674.6991335743,Western Region
Dadra and Nagar Haveli and Daman and Diu,2018,4,Others,5340,6747429.538011953,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,1,Peer-to-peer payments,408465,757657638.3173952,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,1,Recharge & bill payments,225998,62660761.88806932,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,1,Merchant payments,20694,17043867.88608146,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,1,Financial Services,1645,221064.6189234741,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,1,Others,5012,5786443.339431095,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,2,Peer-to-peer payments,244134,734034142.8087387,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,2,Recharge & bill payments,198184,63874445.5524188,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,2,Merchant payments,40781,20816136.241969172,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,2,Financial Services,748,155149.75618074698,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,2,Others,5809,5561402.205763446,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,3,Recharge & bill payments,319142,104597035.07984869,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,3,Peer-to-peer payments,249944,821178569.0593252,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,3,Merchant payments,63616,30634658.23749445,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,3,Financial Services,533,425044.05141368794,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,3,Others,5516,4636167.420289769,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,4,Recharge & bill payments,351819,125809568.3505591,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,4,Peer-to-peer payments,324464,1051976410.547205,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,4,Merchant payments,86758,45361559.23824883,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,4,Financial Services,1019,267762.49056630814,Western Region
Dadra and Nagar Haveli and Daman and Diu,2019,4,Others,4911,3225961.384460643,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,1,Recharge & bill payments,407577,153340696.30393672,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,1,Peer-to-peer payments,329005,1119439489.500513,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,1,Merchant payments,137040,66713356.79814301,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,1,Financial Services,668,418783.1260904173,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,1,Others,4289,2851043.563834071,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,2,Recharge & bill payments,525974,178877986.72486582,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,2,Peer-to-peer payments,323909,1052118443.3664521,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,2,Merchant payments,118801,68938500.71228051,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,2,Financial Services,1826,993268.2971840606,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,2,Others,2642,1448254.787275234,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,3,Recharge & bill payments,455603,201223380.1868608,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,3,Peer-to-peer payments,419524,1401020928.231915,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,3,Merchant payments,257572,143497844.4907236,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,3,Financial Services,1635,1778864.0123306382,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,3,Others,3978,2268098.077531771,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,4,Peer-to-peer payments,666995,2153786522.547576,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,4,Merchant payments,631443,316510115.8051566,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,4,Recharge & bill payments,509971,224246669.7783347,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,4,Financial Services,2453,1683959.5099964456,Western Region
Dadra and Nagar Haveli and Daman and Diu,2020,4,Others,6929,4283833.187441602,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,1,Peer-to-peer payments,768921,2379220756.223016,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,1,Merchant payments,705821,367522132.380636,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,1,Recharge & bill payments,442926,213177144.7320097,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,1,Financial Services,2243,1930008.9716834244,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,1,Others,5333,3782868.8861592514,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,2,Peer-to-peer payments,843550,2512913026.427944,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,2,Merchant payments,802899,430487473.930562,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,2,Recharge & bill payments,471136,208762964.01200238,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,2,Financial Services,1826,1763792.6506419359,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,2,Others,5672,3741204.3977531465,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,3,Merchant payments,1312241,706774071.9381688,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,3,Peer-to-peer payments,1262732,3339347400.064355,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,3,Recharge & bill payments,544322,253199754.8745275,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,3,Financial Services,2065,2252116.636459231,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,3,Others,8110,4365759.277996017,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,4,Merchant payments,2013673,1058989463.165042,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,4,Peer-to-peer payments,1577168,4202291071.7106133,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,4,Recharge & bill payments,551618,294991582.16815025,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,4,Financial Services,2909,3159306.4175118254,Western Region
Dadra and Nagar Haveli and Daman and Diu,2021,4,Others,11717,6407962.869342193,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,1,Merchant payments,2507246,1227972829.697026,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,1,Peer-to-peer payments,1745454,4674787017.541661,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,1,Recharge & bill payments,538134,326296370.8235702,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,1,Financial Services,2574,2661345.5534556974,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,1,Others,9395,5330803.646676767,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,2,Merchant payments,3346697,1536859131.337481,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,2,Peer-to-peer payments,1861799,5078832140.606572,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,2,Recharge & bill payments,539562,372921225.4254243,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,2,Financial Services,1849,2131607.7226029015,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,2,Others,9864,4415675.718757721,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,3,Merchant payments,3777156,1705567002.058646,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,3,Peer-to-peer payments,2086741,5382949597.510585,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,3,Recharge & bill payments,592431,425206924.52700937,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,3,Financial Services,2237,3194409.939898855,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,3,Others,7056,3729425.46329771,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,4,Merchant payments,4415771,1889046056.198835,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,4,Peer-to-peer payments,2215052,5737539058.403507,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,4,Recharge & bill payments,548795,426040023.1105018,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,4,Financial Services,2495,3169199.262533775,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,4,Others,7472,3846409.1057498828,Western Region
Delhi,2018,1,Recharge & bill payments,3947297,1320559612.770412,Northern Region
Delhi,2018,1,Peer-to-peer payments,2380820,9125685134.894358,Northern Region
Delhi,2018,1,Merchant payments,339809,375393115.1913132,Northern Region
Delhi,2018,1,Financial Services,136240,45588429.271575734,Northern Region
Delhi,2018,1,Others,318588,344277514.7923026,Northern Region
Delhi,2018,2,Recharge & bill payments,4511737,2078183615.8006341,Northern Region
Delhi,2018,2,Peer-to-peer payments,3542716,14348179103.10983,Northern Region
Delhi,2018,2,Merchant payments,837001,631597790.6002588,Northern Region
Delhi,2018,2,Financial Services,205991,66584728.19594695,Northern Region
Delhi,2018,2,Others,276278,321754664.4984691,Northern Region
Delhi,2018,3,Peer-to-peer payments,8557153,22670122888.86821,Northern Region
Delhi,2018,3,Recharge & bill payments,5305635,3261844270.537241,Northern Region
Delhi,2018,3,Merchant payments,3808395,1048422633.7093569,Northern Region
Delhi,2018,3,Financial Services,274526,45051151.351430364,Northern Region
Delhi,2018,3,Others,601339,350405916.1523186,Northern Region
Delhi,2018,4,Peer-to-peer payments,9973249,32389252494.75772,Northern Region
Delhi,2018,4,Merchant payments,9958967,2738429838.9392734,Northern Region
Delhi,2018,4,Recharge & bill payments,7483633,3961160542.5700665,Northern Region
Delhi,2018,4,Financial Services,265004,58162003.43614492,Northern Region
Delhi,2018,4,Others,1506866,575852739.0031942,Northern Region
Delhi,2019,1,Peer-to-peer payments,20216287,48250023720.99173,Northern Region
Delhi,2019,1,Merchant payments,13875931,3996618719.7994804,Northern Region
Delhi,2019,1,Recharge & bill payments,10744978,5521320539.356213,Northern Region
Delhi,2019,1,Financial Services,223095,30997039.69755583,Northern Region
Delhi,2019,1,Others,1947036,670171769.6522964,Northern Region
Delhi,2019,2,Merchant payments,20891431,6816878922.844399,Northern Region
Delhi,2019,2,Peer-to-peer payments,20570311,65953571241.26435,Northern Region
Delhi,2019,2,Recharge & bill payments,12869453,8035701902.391765,Northern Region
Delhi,2019,2,Financial Services,137774,33985068.68378611,Northern Region
Delhi,2019,2,Others,2702543,866678928.4439986,Northern Region
Delhi,2019,3,Merchant payments,29453368,9857221391.940361,Northern Region
Delhi,2019,3,Peer-to-peer payments,25201978,81904443496.29779,Northern Region
Delhi,2019,3,Recharge & bill payments,11133404,10406524192.884481,Northern Region
Delhi,2019,3,Financial Services,92061,27952186.986432,Northern Region
Delhi,2019,3,Others,3657065,1000670778.347806,Northern Region
Delhi,2019,4,Peer-to-peer payments,33040093,105858524152.3844,Northern Region
Delhi,2019,4,Merchant payments,32537378,12864577363.07057,Northern Region
Delhi,2019,4,Recharge & bill payments,11609898,9500486080.988451,Northern Region
Delhi,2019,4,Financial Services,57063,21512527.97398922,Northern Region
Delhi,2019,4,Others,3500565,779367300.4732571,Northern Region
Delhi,2020,1,Merchant payments,33951545,14470782771.05468,Northern Region
Delhi,2020,1,Peer-to-peer payments,32410795,108987600006.3667,Northern Region
Delhi,2020,1,Recharge & bill payments,12822919,9498791147.929193,Northern Region
Delhi,2020,1,Financial Services,46529,39908838.24852887,Northern Region
Delhi,2020,1,Others,2515816,619460878.9909674,Northern Region
Delhi,2020,2,Peer-to-peer payments,27155938,86227124454.10175,Northern Region
Delhi,2020,2,Merchant payments,24963931,12708327043.86833,Northern Region
Delhi,2020,2,Recharge & bill payments,13568505,8699886044.040596,Northern Region
Delhi,2020,2,Financial Services,64790,75405868.16164647,Northern Region
Delhi,2020,2,Others,288854,162694793.1586959,Northern Region
Delhi,2020,3,Peer-to-peer payments,41498638,140074023548.1563,Northern Region
Delhi,2020,3,Merchant payments,40973792,21858176583.0589,Northern Region
Delhi,2020,3,Recharge & bill payments,13448341,12883226305.336542,Northern Region
Delhi,2020,3,Financial Services,85689,114341865.26457219,Northern Region
Delhi,2020,3,Others,485401,234194502.84422824,Northern Region
Delhi,2020,4,Merchant payments,54581166,31106554562.7951,Northern Region
Delhi,2020,4,Peer-to-peer payments,49631928,171546055992.1488,Northern Region
Delhi,2020,4,Recharge & bill payments,14862946,12921793576.576849,Northern Region
Delhi,2020,4,Financial Services,114862,160007919.76894262,Northern Region
Delhi,2020,4,Others,1349515,530676173.2537967,Northern Region
Delhi,2021,1,Merchant payments,72615587,39861532639.01234,Northern Region
Delhi,2021,1,Peer-to-peer payments,61957428,210823551741.4093,Northern Region
Delhi,2021,1,Recharge & bill payments,21164274,15447408658.77873,Northern Region
Delhi,2021,1,Financial Services,153039,203106852.42387852,Northern Region
Delhi,2021,1,Others,1468676,592745151.8683048,Northern Region
Delhi,2021,2,Merchant payments,75620295,42933366743.23575,Northern Region
Delhi,2021,2,Peer-to-peer payments,68497718,223034955527.7531,Northern Region
Delhi,2021,2,Recharge & bill payments,25026678,15310096462.74644,Northern Region
Delhi,2021,2,Financial Services,158170,190019761.4974139,Northern Region
Delhi,2021,2,Others,854403,472659189.3086124,Northern Region
Delhi,2021,3,Merchant payments,115250887,64006915630.532616,Northern Region
Delhi,2021,3,Peer-to-peer payments,93292876,298005532606.47,Northern Region
Delhi,2021,3,Recharge & bill payments,28427032,20934734871.90896,Northern Region
Delhi,2021,3,Financial Services,144460,220660990.2206633,Northern Region
Delhi,2021,3,Others,1645353,690472449.1489255,Northern Region
Delhi,2021,4,Merchant payments,149204611,88990516304.07437,Northern Region
Delhi,2021,4,Peer-to-peer payments,112380292,376556972334.1598,Northern Region
Delhi,2021,4,Recharge & bill payments,30127352,22290161823.248642,Northern Region
Delhi,2021,4,Financial Services,199280,287950130.2492174,Northern Region
Delhi,2021,4,Others,771824,569713470.6592032,Northern Region
Delhi,2022,1,Merchant payments,174454937,98212381475.57239,Northern Region
Delhi,2022,1,Peer-to-peer payments,125111881,415305045689.30945,Northern Region
Delhi,2022,1,Recharge & bill payments,29435981,22482865572.90493,Northern Region
Delhi,2022,1,Financial Services,195184,271039329.10874933,Northern Region
Delhi,2022,1,Others,1801878,693588769.393249,Northern Region
Delhi,2022,2,Merchant payments,233412802,121657706565.0125,Northern Region
Delhi,2022,2,Peer-to-peer payments,143447534,480685895058.7076,Northern Region
Delhi,2022,2,Recharge & bill payments,32971294,26876059610.02211,Northern Region
Delhi,2022,2,Financial Services,160827,209425798.8201316,Northern Region
Delhi,2022,2,Others,641727,426563425.65446466,Northern Region
Delhi,2022,3,Merchant payments,276635347,134292748569.0627,Northern Region
Delhi,2022,3,Peer-to-peer payments,160580425,509428627035.33856,Northern Region
Delhi,2022,3,Recharge & bill payments,37572389,33177115465.46472,Northern Region
Delhi,2022,3,Financial Services,195218,265479580.4156591,Northern Region
Delhi,2022,3,Others,608782,448676465.83468235,Northern Region
Delhi,2022,4,Merchant payments,305621913,153114813286.2442,Northern Region
Delhi,2022,4,Peer-to-peer payments,171970100,559069397370.8649,Northern Region
Delhi,2022,4,Recharge & bill payments,36775874,31954251758.092308,Northern Region
Delhi,2022,4,Financial Services,228639,299454652.7780056,Northern Region
Delhi,2022,4,Others,606931,477098950.5964618,Northern Region
Goa,2018,1,Recharge & bill payments,85991,18273814.16270872,Southern Region
Goa,2018,1,Peer-to-peer payments,59651,268175048.0699297,Southern Region
Goa,2018,1,Merchant payments,7880,11036031.73565796,Southern Region
Goa,2018,1,Financial Services,1191,520105.642400422,Southern Region
Goa,2018,1,Others,6184,5851742.732386975,Southern Region
Goa,2018,2,Recharge & bill payments,120943,30994284.170441043,Southern Region
Goa,2018,2,Peer-to-peer payments,87878,419492232.5241037,Southern Region
Goa,2018,2,Merchant payments,12456,20162855.70611957,Southern Region
Goa,2018,2,Financial Services,1903,733429.427283199,Southern Region
Goa,2018,2,Others,6395,7221023.530667527,Southern Region
Goa,2018,3,Recharge & bill payments,158797,40314972.942088366,Southern Region
Goa,2018,3,Peer-to-peer payments,150297,639468418.1317002,Southern Region
Goa,2018,3,Merchant payments,21587,26634198.178851012,Southern Region
Goa,2018,3,Financial Services,1867,468171.36483984883,Southern Region
Goa,2018,3,Others,6963,6281208.620754639,Southern Region
Goa,2018,4,Peer-to-peer payments,246426,1021902315.442675,Southern Region
Goa,2018,4,Recharge & bill payments,212122,54832855.89468471,Southern Region
Goa,2018,4,Merchant payments,45586,66666113.92145965,Southern Region
Goa,2018,4,Financial Services,2523,723599.2328183289,Southern Region
Goa,2018,4,Others,8098,8880194.430766659,Southern Region
Goa,2019,1,Peer-to-peer payments,378848,1310759847.8146641,Southern Region
Goa,2019,1,Recharge & bill payments,275277,78212835.0406034,Southern Region
Goa,2019,1,Merchant payments,74527,75946974.41483101,Southern Region
Goa,2019,1,Financial Services,2013,499592.0966860995,Southern Region
Goa,2019,1,Others,8147,9904147.90979165,Southern Region
Goa,2019,2,Peer-to-peer payments,373759,1391933790.754776,Southern Region
Goa,2019,2,Recharge & bill payments,278060,93218689.41694948,Southern Region
Goa,2019,2,Merchant payments,104592,92873008.6474504,Southern Region
Goa,2019,2,Financial Services,1211,515859.8076807977,Southern Region
Goa,2019,2,Others,10819,13325754.760758922,Southern Region
Goa,2019,3,Peer-to-peer payments,475178,1704668027.015978,Southern Region
Goa,2019,3,Recharge & bill payments,453806,157952854.9501171,Southern Region
Goa,2019,3,Merchant payments,150578,123948570.5685749,Southern Region
Goa,2019,3,Financial Services,1510,1282344.8444824044,Southern Region
Goa,2019,3,Others,11344,12515394.11768832,Southern Region
Goa,2019,4,Peer-to-peer payments,698728,2484453030.3184505,Southern Region
Goa,2019,4,Recharge & bill payments,552421,205602115.1462514,Southern Region
Goa,2019,4,Merchant payments,250893,218404664.86385107,Southern Region
Goa,2019,4,Financial Services,1497,649712.8451498008,Southern Region
Goa,2019,4,Others,11733,14350825.32576531,Southern Region
Goa,2020,1,Peer-to-peer payments,817198,2851686768.653684,Southern Region
Goa,2020,1,Recharge & bill payments,678079,244739382.20701852,Southern Region
Goa,2020,1,Merchant payments,373110,298421548.1046571,Southern Region
Goa,2020,1,Financial Services,1762,1816477.5692472362,Southern Region
Goa,2020,1,Others,11088,13707055.38915557,Southern Region
Goa,2020,2,Recharge & bill payments,758617,241196540.93798912,Southern Region
Goa,2020,2,Peer-to-peer payments,493326,1766723888.202512,Southern Region
Goa,2020,2,Merchant payments,221358,168591711.9469356,Southern Region
Goa,2020,2,Financial Services,3081,3328361.317987765,Southern Region
Goa,2020,2,Others,5710,3775927.611346662,Southern Region
Goa,2020,3,Peer-to-peer payments,759351,2723430713.344406,Southern Region
Goa,2020,3,Recharge & bill payments,696770,280187505.0339355,Southern Region
Goa,2020,3,Merchant payments,446880,353193881.4783259,Southern Region
Goa,2020,3,Financial Services,4985,6418950.466847964,Southern Region
Goa,2020,3,Others,7545,5112530.621144422,Southern Region
Goa,2020,4,Peer-to-peer payments,1550251,5407626413.043345,Southern Region
Goa,2020,4,Merchant payments,1389834,1123844212.517181,Southern Region
Goa,2020,4,Recharge & bill payments,839199,345088772.3784919,Southern Region
Goa,2020,4,Financial Services,7287,10386560.38667797,Southern Region
Goa,2020,4,Others,14810,12846789.254236259,Southern Region
Goa,2021,1,Peer-to-peer payments,2235456,7553384653.1682,Southern Region
Goa,2021,1,Merchant payments,2195509,1768358976.7158573,Southern Region
Goa,2021,1,Recharge & bill payments,880682,410604192.7268899,Southern Region
Goa,2021,1,Financial Services,8138,12207778.14863873,Southern Region
